,gen_0,gen_1,gen_2,demand,price
0,1300.0,1209.75,0.0,2509.75,96.3269230769231
1,1300.0,1098.5500000000002,0.0,2398.55,77.36153846153843
2,1300.0,1051.3000000000002,0.0,2351.3,77.36153846153846
3,1300.0,1036.5,0.0,2336.5,77.36153846153846
4,1300.0,1033.9,0.0,2333.9,77.36153846153846
5,1300.0,1043.4499999999998,0.0,2343.45,77.36153846153846
6,1300.0,1115.15,0.0,2415.15,77.36153846153847
7,1300.0,1266.15,0.0,2566.15,79.66153846153846
8,1300.0,1075.75,400.0,2775.75,84.92057692307691
9,1300.0,825.5,800.0,2925.5,89.60250000000002
10,1300.0,705.0999999999999,1000.0,3005.1,130.0
11,1300.0,735.4499999999998,1000.0,3035.45,130.0
12,1300.0,1070.9,600.0,2970.9,77.36153846153846
13,1300.0,1300.0,266.14999999999964,2866.1499999999996,85.0
14,1300.0,1284.25,200.0,2784.25,77.36153846153846
15,1300.0,1248.9,200.0,2748.9,77.36153846153846
16,1300.0,1254.4499999999998,200.0,2754.45,77.36153846153846
17,1300.0,965.9499999999998,600.0,2865.95,77.36153846153846
18,1300.0,737.6999999999998,1000.0,3037.7,130.0
19,1300.0,714.1999999999998,1000.0,3014.2,130.0
20,1300.0,708.3499999999999,800.0,2808.35,87.70458702059412
21,1300.0,951.4000000000001,400.0,2651.4,86.81848990248281
22,1300.0,1275.6999999999998,0.0,2575.7,87.26153846153846
23,1300.0,1123.0500000000002,0.0,2423.05,85.16153846153846
24,1300.0,982.8000000000002,0.0,2282.8,85.0
